account_age_months,monthly_charges,subscription_tier,support_calls,reported_issues,inactive_days,usage_decline,competitor_offer,promotion_response,contract_type,payment_method,online_security,tech_support,churn
12,73.73,3,3,2,7,8.9,0,0,2,0,0,0,0
35,58.23,1,5,3,18,18.6,0,1,0,3,1,0,0
32,57.9,2,5,2,16,22.5,1,0,2,0,1,1,0
17,85.43,2,5,2,12,10.0,0,0,1,0,1,0,0
41,87.41,1,3,3,22,20.3,1,1,1,1,0,0,1
33,91.87,2,3,2,13,37.0,1,1,0,0,0,0,1
30,80.09,2,8,3,14,16.5,0,0,2,1,0,0,0
39,66.89,1,4,2,13,15.6,1,0,0,1,1,1,1
39,66.79,1,5,3,11,19.2,1,1,0,3,0,0,0
30,63.91,2,5,2,21,19.5,1,1,0,1,1,1,0
37,58.92,2,5,3,17,23.4,1,1,1,0,1,0,0
38,78.62,2,3,2,10,13.5,1,0,0,0,1,0,1
46,66.4,2,4,2,14,15.4,1,0,1,3,1,0,1
40,86.79,1,1,3,9,22.4,1,1,2,0,1,0,1
30,66.57,2,6,3,16,15.9,1,0,0,0,0,0,0
38,86.72,1,4,2,19,24.4,1,0,0,2,1,0,1
39,63.35,3,6,2,17,14.8,1,1,0,3,1,1,0
45,82.64,2,4,2,13,26.3,1,1,0,3,1,1,1
21,74.17,2,5,3,18,17.0,0,0,0,3,1,1,0
28,46.84,3,6,3,10,23.8,0,1,2,3,1,0,0
32,90.04,2,4,3,18,19.6,1,0,0,0,0,0,1
32,66.64,3,6,2,19,20.6,0,1,2,3,0,1,0
22,66.94,3,7,3,19,16.1,0,1,1,3,1,1,0
27,78.76,2,7,3,7,13.8,0,1,1,3,0,1,0
41,65.51,1,4,3,16,9.7,1,1,0,2,0,0,1
29,81.51,2,6,3,23,11.0,0,1,0,3,1,0,0
27,63.01,2,5,3,13,14.6,0,1,1,3,1,1,0
29,72.47,2,6,2,18,14.4,0,0,0,0,0,1,0
22,65.77,3,7,3,16,12.5,0,1,1,1,0,0,0
43,60.36,3,5,1,14,0.8,1,1,0,0,1,0,1
34,70.11,2,5,2,14,17.1,1,0,0,3,0,1,0
36,102.46,1,3,4,13,26.6,1,0,2,2,1,1,1
19,85.55,3,6,1,25,10.7,0,0,0,0,0,1,0
39,81.59,2,6,2,16,18.7,0,0,0,3,1,1,1
28,74.41,1,6,2,15,22.2,0,0,0,2,1,0,0
34,55.67,3,4,2,14,15.6,0,0,0,2,0,1,0
37,44.32,3,5,3,23,27.2,1,1,0,3,0,0,0
26,96.34,2,6,3,13,8.7,0,1,1,0,0,1,1
20,68.99,2,4,3,13,6.9,0,0,0,0,1,0,0
42,77.76,1,3,3,19,22.8,1,0,1,0,0,0,1
34,59.16,3,7,2,10,27.6,1,1,0,3,0,0,0
35,60.18,1,6,3,14,16.0,1,1,1,2,1,0,0
43,61.25,2,5,3,15,23.0,1,0,1,0,0,1,0
42,75.69,2,3,2,14,11.8,1,1,0,2,1,0,1
33,55.24,2,4,2,20,27.1,1,0,0,0,1,1,0
28,56.67,3,6,2,17,17.3,1,1,0,2,0,1,0
32,72.58,1,5,3,14,14.4,0,1,1,2,0,1,0
29,67.42,2,5,3,12,15.9,0,1,0,0,0,1,0
41,83.15,3,3,2,14,23.4,1,1,0,0,1,1,1
27,64.95,2,5,2,26,14.1,0,1,1,3,1,1,0
24,74.35,3,7,2,17,11.9,0,1,1,0,0,0,0
41,77.48,1,3,2,18,18.1,1,1,0,0,0,1,1
33,92.82,2,3,3,11,18.8,1,0,1,3,1,0,1
20,69.8,2,6,3,7,17.7,0,1,0,2,1,1,0
28,65.86,2,6,3,17,22.4,0,0,0,2,1,1,0
31,67.11,2,5,2,21,19.1,1,0,0,0,1,0,0
30,65.46,1,3,2,21,15.7,0,0,2,1,0,1,0
22,70.79,3,5,3,16,15.9,0,0,0,0,1,1,0
28,91.21,2,5,4,15,22.1,1,1,1,3,0,1,1
29,73.27,1,6,2,17,16.6,1,0,0,2,0,1,0
35,50.88,3,6,2,13,23.4,1,1,2,0,1,0,0
39,71.0,1,4,3,15,4.0,1,1,0,0,0,0,1
27,54.91,3,5,3,20,22.0,0,1,0,3,0,1,0
23,81.28,1,6,3,20,17.1,0,0,0,3,0,0,0
22,49.63,3,3,1,20,28.7,1,0,1,2,0,1,0
38,88.27,1,4,3,15,16.5,1,0,1,0,1,0,1
36,57.81,2,4,3,19,21.9,1,1,0,3,1,1,0
40,75.96,3,6,2,11,7.2,1,1,0,0,0,0,1
28,88.64,1,5,3,14,21.5,0,0,0,2,0,1,1
48,63.34,1,4,2,14,23.3,1,1,0,0,0,0,0
27,65.89,2,5,3,16,11.5,0,1,1,3,0,1,0
28,77.0,3,7,2,19,11.8,0,0,1,3,1,0,0
23,53.02,3,6,2,16,21.3,1,0,0,3,0,1,0
24,45.43,3,5,3,13,25.6,0,1,1,2,0,1,0
30,53.95,2,5,4,13,22.4,0,1,0,0,1,1,0
